,ROWID,NAME,DESIGNATION,LOCATION,COMPANIES WORKED AT,SKILLS,COLLEGE NAME,DEGREE,GRADUATION YEAR,EMAIL ADDRESS,STATUS
0,168350617861665.9,Alice Clark,"['AI /', 'Data Wa rehou se', 'Software Engineer', 'Language  Processing, and Big Data Handling    ADDITIONAL INFO']","['Delhi, India', 'Bangalore,  ']",['Microsoft'],"['Data analysis', 'scalability', 'Bing', 'the Windows St ore and the Microsoft', 'Canada', 'Australia', 'Machine Learning, Natural', 'windows', 'machine learning', 'analytics', 'writing', 'business intelligence', 'analytical', 'analysis', 'big data', 'data analysis', 'database', 'sql', 'lifecycle', 'cloud', 'technical', 'design', 'communication', 'ai']",['Stream  Analytics'],[],['2000 to Present   1.'],[],
0,168350617915976.3,Michael Smith,"['Data warehouse', 'C# data extractors, proc essors and reducers for', 'Document dB']","['Anywhere', 'manager (Less']",[],"['Web -based Applications', 'Data analysis', 'scalability', 'Bing', 'the Windows St ore and the', 'Canada', 'Australia', 'Microsoft Rewards Data Insights:', 'Bing', 'the Windows Store and the Microsoft Store. Plus, user can pick', 'Australia.', 'c#, X -flow job monitoring', 'Proces sing server. It also', 'RBAC', 'Stream analytics job', 'ETL solution to transform business', 'project lifecycle (Less', 'email', 'transactions', 'sql', 'cash flow', 'c#', 'analytical', 'schedule', 'database', 'design', 'communication', 'cloud', 'administration', 'business intelligence', 'reporting', 'lifecycle', 'access', '.net', 'sql server', 'process', 'etl', 'windows', 'end user', 'analytics', 'writing', 'routing', 'analysis', 'big data', 'api', 'reports', 'data analysis', 'modeling', 'technical', 'data analytics']","['Azure, StreamAnalytics', 'Microsoft']",[],[],[],
0,168350617985899.3,Michael Smith,"['Data warehouse', 'C# data extractors, proc essors and reducers for', 'Document dB']","['Anywhere', 'manager (Less']",[],"['Web -based Applications', 'Data analysis', 'scalability', 'Bing', 'the Windows St ore and the', 'Canada', 'Australia', 'Microsoft Rewards Data Insights:', 'Bing', 'the Windows Store and the Microsoft Store. Plus, user can pick', 'Australia.', 'c#, X -flow job monitoring', 'Proces sing server. It also', 'RBAC', 'Stream analytics job', 'ETL solution to transform business', 'project lifecycle (Less', 'email', 'transactions', 'sql', 'cash flow', 'c#', 'analytical', 'schedule', 'database', 'design', 'communication', 'cloud', 'administration', 'business intelligence', 'reporting', 'lifecycle', 'access', '.net', 'sql server', 'process', 'etl', 'windows', 'end user', 'analytics', 'writing', 'routing', 'analysis', 'big data', 'api', 'reports', 'data analysis', 'modeling', 'technical', 'data analytics']","['Azure, StreamAnalytics', 'Microsoft']",[],[],[],
0,1683552478676769.0,Alice Clark,"['AI /', 'Data Wa rehou se', 'Software Engineer', 'Language  Processing, and Big Data Handling    ADDITIONAL INFO']","['Delhi, India', 'Bangalore,  ']",['Microsoft'],"['Data analysis', 'scalability', 'Bing', 'the Windows St ore and the Microsoft', 'Canada', 'Australia', 'Machine Learning, Natural', 'data analysis', 'analytical', 'writing', 'big data', 'ai', 'analysis', 'design', 'cloud', 'technical', 'machine learning', 'sql', 'analytics', 'communication', 'lifecycle', 'business intelligence', 'windows', 'database']",['Stream  Analytics'],[],['2000 to Present   1.'],[],[]
0,1683552479221091.0,Michael Smith,"['Data warehouse', 'C# data extractors, proc essors and reducers for', 'Document dB']","['Anywhere', 'manager (Less']",[],"['Web -based Applications', 'Data analysis', 'scalability', 'Bing', 'the Windows St ore and the', 'Canada', 'Australia', 'Microsoft Rewards Data Insights:', 'Bing', 'the Windows Store and the Microsoft Store. Plus, user can pick', 'Australia.', 'c#, X -flow job monitoring', 'Proces sing server. It also', 'RBAC', 'Stream analytics job', 'ETL solution to transform business', 'project lifecycle (Less', 'reports', 'administration', 'analysis', 'design', 'technical', 'business intelligence', 'sql', 'writing', 'analytics', 'windows', 'database', 'end user', 'api', 'email', 'cash flow', 'communication', 'process', 'data analysis', 'schedule', 'analytical', 'big data', 'routing', 'etl', 'lifecycle', 'c#', 'data analytics', 'access', '.net', 'modeling', 'reporting', 'cloud', 'transactions', 'sql server']","['Azure, StreamAnalytics', 'Microsoft']",[],[],[],[]
0,1683552479764769.0,Michael Smith,"['Data warehouse', 'C# data extractors, proc essors and reducers for', 'Document dB']","['Anywhere', 'manager (Less']",[],"['Web -based Applications', 'Data analysis', 'scalability', 'Bing', 'the Windows St ore and the', 'Canada', 'Australia', 'Microsoft Rewards Data Insights:', 'Bing', 'the Windows Store and the Microsoft Store. Plus, user can pick', 'Australia.', 'c#, X -flow job monitoring', 'Proces sing server. It also', 'RBAC', 'Stream analytics job', 'ETL solution to transform business', 'project lifecycle (Less', 'reports', 'administration', 'analysis', 'design', 'technical', 'business intelligence', 'sql', 'writing', 'analytics', 'windows', 'database', 'end user', 'api', 'email', 'cash flow', 'communication', 'process', 'data analysis', 'schedule', 'analytical', 'big data', 'routing', 'etl', 'lifecycle', 'c#', 'data analytics', 'access', '.net', 'modeling', 'reporting', 'cloud', 'transactions', 'sql server']","['Azure, StreamAnalytics', 'Microsoft']",[],[],[],[]
0,1683552480500018.0,Ami Jape,"['Salesforce,', 'Tables)', 'conducted User Acceptance Testing ( UAT', '(March', 'Project Coordinator', 'Graduate Assistant', 'January 2009 to Ma', 'International Student Ambassador at New']","['Highly creative &', 'Technology,  ', 'AX, Oracle', 'Union , NJ', 'research, financial', 'Created, updated', 'Gujarat, India', 'Gujarat, India']",['Oracle'],"['Media', 'Finance', 'Experiences working with cross', 'Work', 'Proactive in', 'Hindi', 'Adelaide (August', 'Google Analytics Platform Principles from Google (March', 'an Award of Excellence by New York Institute of Technology   ', 'Institute of Technology   ', 'Aroncon Project', 'Toad', 'MS Dynamics GP', 'technology implementation initiatives for', 'Maintain an in', 'Google Invoice automation for Media agencies', 'Work', 'Project schedule & other  project related documentation.', 'maintain positive', 'Waterfall & Agile  (SCRUM)', 'Nexelus system environment', 'Familiarity working with XML  and  ', 'Fo recasting', 'maintain Issue', 'Legal', 'Institute of Technology', 'Institute of Technology', 'Institute of Technology', 'administration', 'matrix', 'analytics', 'receivables', 'advertising', 'project management', 'pr', 'product management', 'engineering', 'resource management', 'training', 'consulting', 'project delivery', 'workflows', 'research', 'lifecycle', 'change management', 'general ledger', 'access', 'agile', 'specifications', 'reporting', 'analyze', 'crm', 'xml', 'security', 'english', 'analysis', 'technical', 'sql', 'pl/sql', 'c', 'communication', 'counsel', 'process', 'ms excel', 'operations', 'scrum', 'quality standards', 'regulatory', 'time management', 'workflow', 'vendors', 'accounts payable', 'quickbooks', 'mobile', 'finance', 'jira', 'strategy', 'digital media', 'forecasting', 'strategic initiatives', 'updates', 'compliance', 'troubleshooting', 'software engineering', 'test cases', 'status reports', 'purchasing', 'jad', 'automation', 'testing', 'salesforce', 'filing', 'legal', 'schedule', 'coaching', 'budget', 'queries', 'modeling', 'billing', 'product development', 'improvement', 'international', 'reports', 'schedules', 'p', 'sdlc', 'ios', 'project plan', 'due diligence', 'swot analysis', 'partnership', 'database', 'documentation', 'oracle', 'presentations', 'system', 'plan', 'payroll', 'business stakeholders', 'life cycle', 'sales', 'healthcare', 'ms project', 'relationship management', 'process improvement', 'marketing', 'business analysis', 'r', 'process improvements', 'excel', 'banking', 'accounting', 'sql server']","['customer -focused', 'Waterfall & Agile (SCRUM) .', 'Agreement’s (SLAs', 'Analysis & Presentation:', 'MS Excel (Pivot', 'Agreement’s (SLAs', 'purchasing & Accounts Payable, workflow & resource management', 'Active', 'PE Source - Knight', 'School of Management, New']",['Bachelors of Business Administration'],"['2013', 'May 2006 to August 2007', '2012 to February', '2013', '2011', '2006']",[],[]
0,1683557036630164.0,Alice Clark,"['AI /', 'Data Wa rehou se', 'Software Engineer', 'Language  Processing, and Big Data Handling    ADDITIONAL INFO']","['Delhi, India', 'Bangalore,  ']",['Microsoft'],"['Data analysis', 'scalability', 'Bing', 'the Windows St ore and the Microsoft', 'Canada', 'Australia', 'Machine Learning, Natural', 'business intelligence', 'writing', 'database', 'analytics', 'cloud', 'big data', 'windows', 'design', 'sql', 'analysis', 'communication', 'ai', 'technical', 'machine learning', 'lifecycle', 'data analysis', 'analytical']",['Stream  Analytics'],[],['2000 to Present   1.'],[],[]
0,1683557037123985.0,Michael Smith,"['Data warehouse', 'C# data extractors, proc essors and reducers for', 'Document dB']","['Anywhere', 'manager (Less']",[],"['Web -based Applications', 'Data analysis', 'scalability', 'Bing', 'the Windows St ore and the', 'Canada', 'Australia', 'Microsoft Rewards Data Insights:', 'Bing', 'the Windows Store and the Microsoft Store. Plus, user can pick', 'Australia.', 'c#, X -flow job monitoring', 'Proces sing server. It also', 'RBAC', 'Stream analytics job', 'ETL solution to transform business', 'project lifecycle (Less', 'database', 'analytics', 'cash flow', 'api', 'c#', 'schedule', 'cloud', 'end user', 'administration', 'writing', 'reporting', '.net', 'windows', 'reports', 'design', 'process', 'transactions', 'sql server', 'business intelligence', 'data analysis', 'big data', 'sql', 'modeling', 'analysis', 'data analytics', 'email', 'lifecycle', 'analytical', 'access', 'etl', 'routing', 'communication', 'technical']","['Azure, StreamAnalytics', 'Microsoft']",[],[],[],[]
0,1683557037637079.0,Michael Smith,"['Data warehouse', 'C# data extractors, proc essors and reducers for', 'Document dB']","['Anywhere', 'manager (Less']",[],"['Web -based Applications', 'Data analysis', 'scalability', 'Bing', 'the Windows St ore and the', 'Canada', 'Australia', 'Microsoft Rewards Data Insights:', 'Bing', 'the Windows Store and the Microsoft Store. Plus, user can pick', 'Australia.', 'c#, X -flow job monitoring', 'Proces sing server. It also', 'RBAC', 'Stream analytics job', 'ETL solution to transform business', 'project lifecycle (Less', 'database', 'analytics', 'cash flow', 'api', 'c#', 'schedule', 'cloud', 'end user', 'administration', 'writing', 'reporting', '.net', 'windows', 'reports', 'design', 'process', 'transactions', 'sql server', 'business intelligence', 'data analysis', 'big data', 'sql', 'modeling', 'analysis', 'data analytics', 'email', 'lifecycle', 'analytical', 'access', 'etl', 'routing', 'communication', 'technical']","['Azure, StreamAnalytics', 'Microsoft']",[],[],[],[]
